,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
60,Muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
61,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
62,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
63,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
64,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
65,Small_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
66,Spleen,5.410301309893839e-05,0.007613874971866608,0.0,0.0,0.0,0.0,1.279462456703186,A4GNT,0.0,0.0,0.0,all,immune
67,Thymus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
68,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
69,Trachea,0.00027332172612659633,0.010262514464557171,0.0,0.0,0.0,0.0,0.4626888632774353,A4GNT,0.0,0.0,0.0,all,immune
70,Uterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,immune
71,Vasculature,0.0004988227738067508,0.01581052504479885,0.0,0.0,0.0,0.0,0.6637508869171143,A4GNT,0.0,0.0,0.0,all,immune
72,Bladder,0.002813104074448347,0.05243901535868645,0.0,0.0,0.0,0.0,1.4266098737716675,ABO,0.0,0.0,0.0,all,immune
73,Blood,0.009550818242132664,0.09041139483451843,0.0,0.0,0.0,0.0,1.9818100929260254,ABO,0.0,0.0,0.0,all,immune
74,Bone_Marrow,0.02653537504374981,0.13163737952709198,0.0,0.0,0.0,0.0,1.8926568031311035,ABO,0.0,0.0,0.0,all,immune
75,Eye,0.0015977617586031556,0.04254336282610893,0.0,0.0,0.0,0.0,1.1328130960464478,ABO,0.0,0.0,0.0,all,immune
76,Fat,0.005230209324508905,0.0500464029610157,0.0,0.0,0.0,0.0,1.2212681770324707,ABO,0.0,0.0,0.0,all,immune
77,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABO,0.0,0.0,0.0,all,immune
78,Kidney,0.002354350173845887,0.04384628310799599,0.0,0.0,0.0,0.0,0.9302547574043274,ABO,0.0,0.0,0.0,all,immune
79,Large_Intestine,0.0019132982706651092,0.0506858304142952,0.0,0.0,0.0,0.0,1.4992347955703735,ABO,0.0,0.0,0.0,all,immune
80,Liver,0.0002119233104167506,0.010434204712510109,0.0,0.0,0.0,0.0,0.5137020945549011,ABO,0.0,0.0,0.0,all,immune
81,Lung,0.003991143777966499,0.05726044625043869,0.0,0.0,0.0,0.0,1.6003798246383667,ABO,0.0,0.0,0.0,all,immune
82,Lymph_Node,0.0002507922472432256,0.015674585476517677,0.0,0.0,0.0,0.0,1.5121983289718628,ABO,0.0,0.0,0.0,all,immune
83,Mammary,0.002995796035975218,0.06243862584233284,0.0,0.0,0.0,0.0,1.4521409273147583,ABO,0.0,0.0,0.0,all,immune
84,Muscle,0.0005195644916966558,0.016562968492507935,0.0,0.0,0.0,0.0,0.5735036730766296,ABO,0.0,0.0,0.0,all,immune
85,Pancreas,0.002462297910824418,0.04057518020272255,0.0,0.0,0.0,0.0,0.9062985181808472,ABO,0.0,0.0,0.0,all,immune
86,Prostate,0.0030819326639175415,0.052927397191524506,0.0,0.0,0.0,0.0,1.439980149269104,ABO,0.0,0.0,0.0,all,immune
