,compartment,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,tissue_in_publication
216,stromal,0.012875989079475403,0.09506887197494507,0.0,0.0,0.0,0.0,1.9066729545593262,HYAL1,0.0,0.0,0.0,all,all
217,stromal,0.11360751837491989,0.28073394298553467,0.0,0.0,0.0,0.0,3.372136116027832,HYAL2,0.0,0.0,0.0,all,all
218,stromal,0.007200011517852545,0.06632386893033981,0.0,0.0,0.0,0.0,1.5209428071975708,HYAL3,0.0,0.0,0.0,all,all
219,stromal,0.00012548439553938806,0.010558598674833775,0.0,0.0,0.0,0.0,1.586788296699524,HYAL4,0.0,0.0,0.0,all,all
220,stromal,0.1455978900194168,0.31432950496673584,0.0,0.0,0.0,0.0,2.653334856033325,HYOU1,0.0,0.0,0.0,all,all
221,stromal,0.14655834436416626,0.3248147666454315,0.0,0.0,0.0,0.0,2.478969097137451,IDS,0.0,0.0,0.0,all,all
222,stromal,0.0612165592610836,0.2025202214717865,0.0,0.0,0.0,0.0,2.093390703201294,IDUA,0.0,0.0,0.0,all,all
223,stromal,0.36180636286735535,0.46597516536712646,0.0,0.0,0.0,0.7022190690040588,2.930872678756714,IGF2R,0.7022190690040588,1.755547672510147,0.0,all,all
224,stromal,0.06797264516353607,0.2187865972518921,0.0,0.0,0.0,0.0,2.1631195545196533,LARGE1,0.0,0.0,0.0,all,all
225,stromal,0.0016315279062837362,0.03230440989136696,0.0,0.0,0.0,0.0,1.526275396347046,LARGE2,0.0,0.0,0.0,all,all
226,stromal,0.015288629569113255,0.11496683210134506,0.0,0.0,0.0,0.0,2.2368228435516357,LFNG,0.0,0.0,0.0,all,all
227,stromal,0.5619521737098694,0.519960880279541,0.0,0.0,0.6032522618770599,0.9624826461076736,2.819391965866089,LMAN2,0.9624826461076736,2.406206615269184,0.0,all,all
228,stromal,0.310852587223053,0.42192286252975464,0.0,0.0,0.0,0.6227276921272278,2.531636953353882,M6PR,0.6227276921272278,1.5568192303180695,0.0,all,all
229,stromal,0.6193960309028625,0.6711302995681763,0.0,0.0,0.4903522878885269,1.1504619717597961,3.6332857608795166,MAN1A1,1.1504619717597961,2.8761549293994904,0.0,all,all
230,stromal,0.354306161403656,0.44669169187545776,0.0,0.0,0.0,0.6975679695606232,3.402817964553833,MAN1A2,0.6975679695606232,1.743919923901558,0.0,all,all
231,stromal,0.13026055693626404,0.28524065017700195,0.0,0.0,0.0,0.0,2.159381151199341,MAN1B1,0.0,0.0,0.0,all,all
232,stromal,0.1319938749074936,0.29478368163108826,0.0,0.0,0.0,0.0,2.444021224975586,MAN1C1,0.0,0.0,0.0,all,all
233,stromal,0.23769867420196533,0.412287175655365,0.0,0.0,0.0,0.4339093565940857,2.8221144676208496,MAN2A1,0.4339093565940857,1.0847733914852142,0.0,all,all
234,stromal,0.09614426642656326,0.25699368119239807,0.0,0.0,0.0,0.0,2.440796375274658,MAN2A2,0.0,0.0,0.0,all,all
235,stromal,0.03564746305346489,0.1606857180595398,0.0,0.0,0.0,0.0,2.3377065658569336,MAN2B1,0.0,0.0,0.0,all,all
236,stromal,0.1614769846200943,0.3228764533996582,0.0,0.0,0.0,0.0,2.3300631046295166,MAN2B2,0.0,0.0,0.0,all,all
237,stromal,0.11930983513593674,0.2829122245311737,0.0,0.0,0.0,0.0,2.4256234169006348,MAN2C1,0.0,0.0,0.0,all,all
238,stromal,0.09433584660291672,0.24760651588439941,0.0,0.0,0.0,0.0,2.1492741107940674,MANBA,0.0,0.0,0.0,all,all
239,stromal,0.19787707924842834,0.37298622727394104,0.0,0.0,0.0,0.2952569052577019,2.5791430473327637,MANEA,0.2952569052577019,0.7381422631442547,0.0,all,all
240,stromal,0.0025309014599770308,0.044325970113277435,0.0,0.0,0.0,0.0,1.8938547372817993,MFNG,0.0,0.0,0.0,all,all
241,stromal,0.3953043520450592,0.4799347221851349,0.0,0.0,0.0,0.7567554116249084,2.8027217388153076,MGAT1,0.7567554116249084,1.8918885290622711,0.0,all,all
242,stromal,0.12296941876411438,0.2768840789794922,0.0,0.0,0.0,0.0,2.284780502319336,MGAT2,0.0,0.0,0.0,all,all
243,stromal,0.014415965415537357,0.09835661202669144,0.0,0.0,0.0,0.0,2.0822465419769287,MGAT3,0.0,0.0,0.0,all,all
244,stromal,0.020049817860126495,0.12299861758947372,0.0,0.0,0.0,0.0,1.95531165599823,MGAT4A,0.0,0.0,0.0,all,all
245,stromal,0.16836746037006378,0.3320696949958801,0.0,0.0,0.0,0.0,2.43412446975708,MGAT4B,0.0,0.0,0.0,all,all
246,stromal,0.006382493767887354,0.06969695538282394,0.0,0.0,0.0,0.0,2.940195322036743,MGAT4C,0.0,0.0,0.0,all,all
247,stromal,0.07573342323303223,0.22700248658657074,0.0,0.0,0.0,0.0,2.2878241539001465,MGAT5,0.0,0.0,0.0,all,all
248,stromal,0.000890679657459259,0.02653461880981922,0.0,0.0,0.0,0.0,1.4531441926956177,MGAT5B,0.0,0.0,0.0,all,all
249,stromal,0.09474711120128632,0.24963995814323425,0.0,0.0,0.0,0.0,2.345350503921509,MOGS,0.0,0.0,0.0,all,all
250,stromal,0.07688690721988678,0.22085943818092346,0.0,0.0,0.0,0.0,2.1709935665130615,MPI,0.0,0.0,0.0,all,all
251,stromal,0.11890202760696411,0.2735495865345001,0.0,0.0,0.0,0.0,2.420626401901245,MPPE1,0.0,0.0,0.0,all,all
252,stromal,0.06067262589931488,0.19745321571826935,0.0,0.0,0.0,0.0,2.165621519088745,NAGA,0.0,0.0,0.0,all,all
253,stromal,0.16740021109580994,0.32258325815200806,0.0,0.0,0.0,0.22381054982542992,2.46901535987854,NAGK,0.22381054982542992,0.5595263745635748,0.0,all,all
254,stromal,0.22323893010616302,0.375072717666626,0.0,0.0,0.0,0.42860665917396545,2.675835371017456,NAGLU,0.42860665917396545,1.0715166479349136,0.0,all,all
255,stromal,0.03353205323219299,0.14838320016860962,0.0,0.0,0.0,0.0,1.7724404335021973,NAGPA,0.0,0.0,0.0,all,all
256,stromal,0.2753151059150696,0.40464821457862854,0.0,0.0,0.0,0.5552501231431961,2.739211082458496,NANS,0.5552501231431961,1.3881253078579903,0.0,all,all
257,stromal,0.0927370935678482,0.23828133940696716,0.0,0.0,0.0,0.0,2.07979154586792,NDST1,0.0,0.0,0.0,all,all
258,stromal,0.008963849395513535,0.0786503255367279,0.0,0.0,0.0,0.0,1.5536208152770996,NDST2,0.0,0.0,0.0,all,all
259,stromal,0.00042148365173488855,0.01889420486986637,0.0,0.0,0.0,0.0,1.434597134590149,NDST3,0.0,0.0,0.0,all,all
260,stromal,0.0008085626759566367,0.02693752571940422,0.0,0.0,0.0,0.0,1.556272268295288,NDST4,0.0,0.0,0.0,all,all
261,stromal,0.30081695318222046,0.4668048322200775,0.0,0.0,0.0,0.5725167244672775,3.6581032276153564,NEU1,0.5725167244672775,1.4312918111681938,0.0,all,all
262,stromal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEU2,0.0,0.0,0.0,all,all
263,stromal,0.022190332412719727,0.124657042324543,0.0,0.0,0.0,0.0,2.0239479541778564,NEU3,0.0,0.0,0.0,all,all
264,stromal,0.002440656302496791,0.050268761813640594,0.0,0.0,0.0,0.0,2.4523584842681885,NEU4,0.0,0.0,0.0,all,all
265,stromal,0.35186412930488586,0.458357036113739,0.0,0.0,0.0,0.6836833953857422,2.7355053424835205,OGA,0.6836833953857422,1.7092084884643555,0.0,all,all
266,stromal,0.29004475474357605,0.4439563453197479,0.0,0.0,0.0,0.5623400211334229,3.3275725841522217,OGT,0.5623400211334229,1.4058500528335571,0.0,all,all
267,stromal,0.5490960478782654,0.5274975299835205,0.0,0.0,0.5613759160041809,0.9549394994974136,2.6826624870300293,OS9,0.9549394994974136,2.387348748743534,0.0,all,all
268,stromal,0.14417022466659546,0.30418169498443604,0.0,0.0,0.0,0.0,2.534571886062622,PAPSS1,0.0,0.0,0.0,all,all
269,stromal,0.20036770403385162,0.3832971155643463,0.0,0.0,0.0,0.272492915391922,2.7827794551849365,PAPSS2,0.272492915391922,0.681232288479805,0.0,all,all
270,stromal,0.03641277179121971,0.1556541472673416,0.0,0.0,0.0,0.0,1.9636902809143066,PGAP4,0.0,0.0,0.0,all,all
271,stromal,0.04722781106829643,0.18857187032699585,0.0,0.0,0.0,0.0,2.4110283851623535,PGGHG,0.0,0.0,0.0,all,all
272,stromal,0.21666279435157776,0.39376533031463623,0.0,0.0,0.0,0.3766820356249809,3.2224347591400146,PGM1,0.3766820356249809,0.9417050890624523,0.0,all,all
273,stromal,0.07635319977998734,0.23491385579109192,0.0,0.0,0.0,0.0,2.8860890865325928,PGM2,0.0,0.0,0.0,all,all
274,stromal,0.24462226033210754,0.4054555892944336,0.0,0.0,0.0,0.47118885070085526,2.851689577102661,PGM3,0.47118885070085526,1.1779721267521381,0.0,all,all
275,stromal,0.07263710349798203,0.23326589167118073,0.0,0.0,0.0,0.0,2.4573862552642822,PIGA,0.0,0.0,0.0,all,all
276,stromal,0.027363011613488197,0.1361815631389618,0.0,0.0,0.0,0.0,2.137423515319824,PIGB,0.0,0.0,0.0,all,all
277,stromal,0.15093210339546204,0.306972473859787,0.0,0.0,0.0,0.0,2.3175530433654785,PIGC,0.0,0.0,0.0,all,all
278,stromal,0.14968489110469818,0.3043716549873352,0.0,0.0,0.0,0.0,2.341944456100464,PIGF,0.0,0.0,0.0,all,all
279,stromal,0.0746733769774437,0.22494550049304962,0.0,0.0,0.0,0.0,2.1743264198303223,PIGG,0.0,0.0,0.0,all,all
280,stromal,0.1237427368760109,0.28299182653427124,0.0,0.0,0.0,0.0,2.1961586475372314,PIGH,0.0,0.0,0.0,all,all
281,stromal,0.15370339155197144,0.30905142426490784,0.0,0.0,0.0,0.0,2.1782517433166504,PIGK,0.0,0.0,0.0,all,all
282,stromal,0.0656086802482605,0.21308521926403046,0.0,0.0,0.0,0.0,2.251142740249634,PIGL,0.0,0.0,0.0,all,all
283,stromal,0.0912582129240036,0.2491847276687622,0.0,0.0,0.0,0.0,2.4994919300079346,PIGM,0.0,0.0,0.0,all,all
284,stromal,0.08235257863998413,0.23297767341136932,0.0,0.0,0.0,0.0,2.018551826477051,PIGN,0.0,0.0,0.0,all,all
285,stromal,0.04111861437559128,0.16534781455993652,0.0,0.0,0.0,0.0,1.9954155683517456,PIGO,0.0,0.0,0.0,all,all
286,stromal,0.2772845923900604,0.4045032262802124,0.0,0.0,0.0,0.5679028183221817,2.3906540870666504,PIGP,0.5679028183221817,1.4197570458054543,0.0,all,all
287,stromal,0.05869274213910103,0.1944272518157959,0.0,0.0,0.0,0.0,1.881726622581482,PIGQ,0.0,0.0,0.0,all,all
288,stromal,0.1168910413980484,0.2732140123844147,0.0,0.0,0.0,0.0,2.0890378952026367,PIGS,0.0,0.0,0.0,all,all
289,stromal,0.4027090072631836,0.47406402230262756,0.0,0.0,0.0,0.7634070217609406,2.642723560333252,PIGT,0.7634070217609406,1.9085175544023514,0.0,all,all
290,stromal,0.05882783234119415,0.19312018156051636,0.0,0.0,0.0,0.0,2.077955484390259,PIGU,0.0,0.0,0.0,all,all
291,stromal,0.05147823318839073,0.18448080122470856,0.0,0.0,0.0,0.0,1.9110773801803589,PIGV,0.0,0.0,0.0,all,all
292,stromal,0.029179131612181664,0.14068959653377533,0.0,0.0,0.0,0.0,1.8765560388565063,PIGW,0.0,0.0,0.0,all,all
293,stromal,0.15608011186122894,0.3138887882232666,0.0,0.0,0.0,0.0,2.1792938709259033,PIGX,0.0,0.0,0.0,all,all
294,stromal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIGY,0.0,0.0,0.0,all,all
295,stromal,0.03898745775222778,0.16118872165679932,0.0,0.0,0.0,0.0,1.9791181087493896,PIGZ,0.0,0.0,0.0,all,all
296,stromal,0.30674177408218384,0.4805307984352112,0.0,0.0,0.0,0.5837969183921814,2.8284075260162354,PLOD1,0.5837969183921814,1.4594922959804535,0.0,all,all
297,stromal,0.32701197266578674,0.4848408102989197,0.0,0.0,0.0,0.6466488093137741,4.580051898956299,PLOD2,0.6466488093137741,1.6166220232844353,0.0,all,all
298,stromal,0.17645911872386932,0.3317685127258301,0.0,0.0,0.0,0.2776579335331917,2.4357080459594727,PLOD3,0.2776579335331917,0.6941448338329792,0.0,all,all
299,stromal,0.22731879353523254,0.36734896898269653,0.0,0.0,0.0,0.45817938446998596,2.305921792984009,PMM1,0.45817938446998596,1.145448461174965,0.0,all,all
300,stromal,0.12104770541191101,0.28335222601890564,0.0,0.0,0.0,0.0,2.3094537258148193,PMM2,0.0,0.0,0.0,all,all
301,stromal,0.08927878737449646,0.23824605345726013,0.0,0.0,0.0,0.0,2.3490562438964844,POFUT1,0.0,0.0,0.0,all,all
302,stromal,0.0971468910574913,0.2539721429347992,0.0,0.0,0.0,0.0,2.1556601524353027,POFUT2,0.0,0.0,0.0,all,all
303,stromal,0.10568155348300934,0.26192331314086914,0.0,0.0,0.0,0.0,2.380502462387085,POGLUT1,0.0,0.0,0.0,all,all
304,stromal,0.043328408151865005,0.16411572694778442,0.0,0.0,0.0,0.0,1.983700156211853,POGLUT2,0.0,0.0,0.0,all,all
305,stromal,0.2634497582912445,0.4063853323459625,0.0,0.0,0.0,0.5404551327228546,2.7441086769104004,POGLUT3,0.5404551327228546,1.3511378318071365,0.0,all,all
306,stromal,0.09860143810510635,0.2513602375984192,0.0,0.0,0.0,0.0,2.167217969894409,POMGNT1,0.0,0.0,0.0,all,all
307,stromal,0.054898425936698914,0.18747244775295258,0.0,0.0,0.0,0.0,2.1574621200561523,POMGNT2,0.0,0.0,0.0,all,all
308,stromal,0.006137811113148928,0.0632397010922432,0.0,0.0,0.0,0.0,1.5821655988693237,POMK,0.0,0.0,0.0,all,all
309,stromal,0.05388150364160538,0.1903078258037567,0.0,0.0,0.0,0.0,2.1118993759155273,POMT1,0.0,0.0,0.0,all,all
310,stromal,0.04478304460644722,0.17410695552825928,0.0,0.0,0.0,0.0,2.0580391883850098,POMT2,0.0,0.0,0.0,all,all
311,stromal,0.35815221071243286,0.44000259041786194,0.0,0.0,0.0,0.7005152553319931,2.527174234390259,PRKCSH,0.7005152553319931,1.7512881383299828,0.0,all,all
312,stromal,0.03993746638298035,0.16335459053516388,0.0,0.0,0.0,0.0,1.841944694519043,PXYLP1,0.0,0.0,0.0,all,all
313,stromal,0.013455769047141075,0.09917979687452316,0.0,0.0,0.0,0.0,1.963427186012268,RENBP,0.0,0.0,0.0,all,all
314,stromal,0.20349828898906708,0.3492441177368164,0.0,0.0,0.0,0.38771775364875793,2.369887351989746,RFNG,0.38771775364875793,0.9692943841218948,0.0,all,all
315,stromal,0.40874695777893066,0.48646512627601624,0.0,0.0,0.0,0.769964337348938,2.761641263961792,RPN1,0.769964337348938,1.924910843372345,0.0,all,all
316,stromal,0.6734554171562195,0.5797070860862732,0.0,0.0,0.7278692722320557,1.1257297992706299,3.1202847957611084,RPN2,1.1257297992706299,2.8143244981765747,0.0,all,all
317,stromal,0.17275628447532654,0.33204615116119385,0.0,0.0,0.0,0.238945372402668,2.4931046962738037,RXYLT1,0.238945372402668,0.59736343100667,0.0,all,all
318,stromal,0.3143466114997864,0.4321686923503876,0.0,0.0,0.0,0.6272772252559662,2.7963428497314453,SEL1L,0.6272772252559662,1.5681930631399155,0.0,all,all
319,stromal,0.05834741145372391,0.19670596718788147,0.0,0.0,0.0,0.0,2.1862776279449463,SGSH,0.0,0.0,0.0,all,all
320,stromal,0.053732410073280334,0.18673518300056458,0.0,0.0,0.0,0.0,1.926701545715332,SIAE,0.0,0.0,0.0,all,all
321,stromal,0.15132656693458557,0.3885861933231354,0.0,0.0,0.0,0.0,4.272274971008301,SLC2A1,0.0,0.0,0.0,all,all
322,stromal,0.08470772206783295,0.2364385575056076,0.0,0.0,0.0,0.0,2.261345148086548,SLC2A10,0.0,0.0,0.0,all,all
323,stromal,0.014935201965272427,0.10527747869491577,0.0,0.0,0.0,0.0,2.090589761734009,SLC2A12,0.0,0.0,0.0,all,all
324,stromal,0.0001325317716691643,0.012921176850795746,0.0,0.0,0.0,0.0,1.9199652671813965,SLC2A2,0.0,0.0,0.0,all,all
325,stromal,0.7544082999229431,0.802108645439148,0.0,0.0,0.6195406913757324,1.3229840993881226,4.049557209014893,SLC2A3,1.3229840993881226,3.3074602484703064,0.0,all,all
326,stromal,0.0394977442920208,0.18703970313072205,0.0,0.0,0.0,0.0,2.5835180282592773,SLC2A4,0.0,0.0,0.0,all,all
327,stromal,0.008572914637625217,0.08865974098443985,0.0,0.0,0.0,0.0,2.8574187755584717,SLC2A5,0.0,0.0,0.0,all,all
328,stromal,0.0627451092004776,0.20208244025707245,0.0,0.0,0.0,0.0,2.1239092350006104,SLC2A8,0.0,0.0,0.0,all,all
329,stromal,0.07895466685295105,0.22600768506526947,0.0,0.0,0.0,0.0,2.20269513130188,SLC35A1,0.0,0.0,0.0,all,all
