,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
91,Prostate,0.0983036682009697,0.27764564752578735,0.0,0.0,0.0,0.0,1.6666892766952515,AGA,0.0,0.0,0.0,all,stromal
92,Salivary_Gland,0.08969898521900177,0.24819567799568176,0.0,0.0,0.0,0.0,1.7658476829528809,AGA,0.0,0.0,0.0,all,stromal
93,Skin,0.02312706783413887,0.13474483788013458,0.0,0.0,0.0,0.0,1.4478946924209595,AGA,0.0,0.0,0.0,all,stromal
94,Small_Intestine,0.07003618031740189,0.23382633924484253,0.0,0.0,0.0,0.0,1.169994592666626,AGA,0.0,0.0,0.0,all,stromal
95,Thymus,0.06713954359292984,0.2188919186592102,0.0,0.0,0.0,0.0,1.8718868494033813,AGA,0.0,0.0,0.0,all,stromal
96,Tongue,0.07179713249206543,0.24726800620555878,0.0,0.0,0.0,0.0,1.5419659614562988,AGA,0.0,0.0,0.0,all,stromal
97,Trachea,0.04746042937040329,0.18814349174499512,0.0,0.0,0.0,0.0,1.4173028469085693,AGA,0.0,0.0,0.0,all,stromal
98,Uterus,0.08874864131212234,0.22304067015647888,0.0,0.0,0.0,0.0,1.6040199995040894,AGA,0.0,0.0,0.0,all,stromal
99,Vasculature,0.08271151781082153,0.20953045785427094,0.0,0.0,0.0,0.0,2.115525960922241,AGA,0.0,0.0,0.0,all,stromal
100,Bladder,0.043214648962020874,0.1686905026435852,0.0,0.0,0.0,0.0,1.4493900537490845,ALG1,0.0,0.0,0.0,all,stromal
101,Eye,0.04230504482984543,0.1635734736919403,0.0,0.0,0.0,0.0,1.7685312032699585,ALG1,0.0,0.0,0.0,all,stromal
102,Fat,0.0483287088572979,0.16949044167995453,0.0,0.0,0.0,0.0,1.5437008142471313,ALG1,0.0,0.0,0.0,all,stromal
103,Heart,0.06394368410110474,0.1716800481081009,0.0,0.0,0.0,0.0,1.5870976448059082,ALG1,0.0,0.0,0.0,all,stromal
104,Large_Intestine,0.028050098568201065,0.16006436944007874,0.0,0.0,0.0,0.0,1.3743394613265991,ALG1,0.0,0.0,0.0,all,stromal
105,Liver,0.040971651673316956,0.17475652694702148,0.0,0.0,0.0,0.0,1.2039260864257812,ALG1,0.0,0.0,0.0,all,stromal
106,Lung,0.0389050655066967,0.186387300491333,0.0,0.0,0.0,0.0,1.442442536354065,ALG1,0.0,0.0,0.0,all,stromal
107,Lymph_Node,0.07869182527065277,0.2311236411333084,0.0,0.0,0.0,0.0,1.1253079175949097,ALG1,0.0,0.0,0.0,all,stromal
108,Mammary,0.049775104969739914,0.2026652693748474,0.0,0.0,0.0,0.0,1.578796148300171,ALG1,0.0,0.0,0.0,all,stromal
109,Muscle,0.03020402416586876,0.14698249101638794,0.0,0.0,0.0,0.0,1.5243055820465088,ALG1,0.0,0.0,0.0,all,stromal
110,Pancreas,0.12044043093919754,0.2743470370769501,0.0,0.0,0.0,0.0,1.234208583831787,ALG1,0.0,0.0,0.0,all,stromal
111,Prostate,0.03774123266339302,0.18234850466251373,0.0,0.0,0.0,0.0,1.48692786693573,ALG1,0.0,0.0,0.0,all,stromal
112,Salivary_Gland,0.07118640840053558,0.2225760817527771,0.0,0.0,0.0,0.0,1.5864791870117188,ALG1,0.0,0.0,0.0,all,stromal
113,Skin,0.03371494635939598,0.14430195093154907,0.0,0.0,0.0,0.0,1.5681885480880737,ALG1,0.0,0.0,0.0,all,stromal
114,Small_Intestine,0.01604524813592434,0.09788842499256134,0.0,0.0,0.0,0.0,0.6655380725860596,ALG1,0.0,0.0,0.0,all,stromal
115,Thymus,0.1080559566617012,0.27397266030311584,0.0,0.0,0.0,0.0,1.8503319025039673,ALG1,0.0,0.0,0.0,all,stromal
116,Tongue,0.022406168282032013,0.1332472413778305,0.0,0.0,0.0,0.0,1.3490808010101318,ALG1,0.0,0.0,0.0,all,stromal
117,Trachea,0.0883728638291359,0.2507680058479309,0.0,0.0,0.0,0.0,1.9342583417892456,ALG1,0.0,0.0,0.0,all,stromal
118,Uterus,0.06324496120214462,0.18374650180339813,0.0,0.0,0.0,0.0,1.4556597471237183,ALG1,0.0,0.0,0.0,all,stromal
119,Vasculature,0.066639244556427,0.1828555017709732,0.0,0.0,0.0,0.0,2.0444552898406982,ALG1,0.0,0.0,0.0,all,stromal
120,Bladder,0.014691445976495743,0.1038154885172844,0.0,0.0,0.0,0.0,1.9390841722488403,ALG10,0.0,0.0,0.0,all,stromal
121,Eye,0.027903174981474876,0.15486598014831543,0.0,0.0,0.0,0.0,2.3067355155944824,ALG10,0.0,0.0,0.0,all,stromal
122,Fat,0.020426390692591667,0.1149289608001709,0.0,0.0,0.0,0.0,1.5013996362686157,ALG10,0.0,0.0,0.0,all,stromal
123,Heart,0.017593178898096085,0.0937834233045578,0.0,0.0,0.0,0.0,1.4834928512573242,ALG10,0.0,0.0,0.0,all,stromal
124,Large_Intestine,0.019434653222560883,0.13510662317276,0.0,0.0,0.0,0.0,1.4439247846603394,ALG10,0.0,0.0,0.0,all,stromal
125,Liver,0.019381284713745117,0.11555260419845581,0.0,0.0,0.0,0.0,0.7243989109992981,ALG10,0.0,0.0,0.0,all,stromal
126,Lung,0.02488388493657112,0.1696174591779709,0.0,0.0,0.0,0.0,1.5131640434265137,ALG10,0.0,0.0,0.0,all,stromal
127,Lymph_Node,0.009439723566174507,0.07214047014713287,0.0,0.0,0.0,0.0,0.6531446576118469,ALG10,0.0,0.0,0.0,all,stromal
128,Mammary,0.009764631278812885,0.09219824522733688,0.0,0.0,0.0,0.0,1.45742666721344,ALG10,0.0,0.0,0.0,all,stromal
129,Muscle,0.015727449208498,0.10997302085161209,0.0,0.0,0.0,0.0,1.5545035600662231,ALG10,0.0,0.0,0.0,all,stromal
130,Pancreas,0.009526983834803104,0.06653500348329544,0.0,0.0,0.0,0.0,0.7729656100273132,ALG10,0.0,0.0,0.0,all,stromal
131,Prostate,0.01587408222258091,0.10970371216535568,0.0,0.0,0.0,0.0,0.89725261926651,ALG10,0.0,0.0,0.0,all,stromal
132,Salivary_Gland,0.033762235194444656,0.14546464383602142,0.0,0.0,0.0,0.0,1.4328941106796265,ALG10,0.0,0.0,0.0,all,stromal
133,Skin,0.00555952824652195,0.05756259709596634,0.0,0.0,0.0,0.0,0.980100691318512,ALG10,0.0,0.0,0.0,all,stromal
134,Small_Intestine,0.005491580814123154,0.058117445558309555,0.0,0.0,0.0,0.0,0.6150570511817932,ALG10,0.0,0.0,0.0,all,stromal
