,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
89,Eye,0.05755167081952095,0.19921132922172546,0.0,0.0,0.0,0.0,1.3778787851333618,AGA,0.0,0.0,0.0,all,endothelial
90,Fat,0.08569473028182983,0.24995723366737366,0.0,0.0,0.0,0.0,2.0219554901123047,AGA,0.0,0.0,0.0,all,endothelial
91,Heart,0.07176222652196884,0.28235888481140137,0.0,0.0,0.0,0.0,2.4971868991851807,AGA,0.0,0.0,0.0,all,endothelial
92,Kidney,0.11932750791311264,0.2860495448112488,0.0,0.0,0.0,0.0,1.192773699760437,AGA,0.0,0.0,0.0,all,endothelial
93,Large_Intestine,0.0952213853597641,0.3389125168323517,0.0,0.0,0.0,0.0,1.4725213050842285,AGA,0.0,0.0,0.0,all,endothelial
94,Liver,0.06616602092981339,0.25032955408096313,0.0,0.0,0.0,0.0,1.481913685798645,AGA,0.0,0.0,0.0,all,endothelial
95,Lung,0.07445657253265381,0.29191479086875916,0.0,0.0,0.0,0.0,2.0800981521606445,AGA,0.0,0.0,0.0,all,endothelial
96,Lymph_Node,0.10543639212846756,0.26975321769714355,0.0,0.0,0.0,0.0,1.333852767944336,AGA,0.0,0.0,0.0,all,endothelial
97,Mammary,0.05275765806436539,0.214458167552948,0.0,0.0,0.0,0.0,1.465056300163269,AGA,0.0,0.0,0.0,all,endothelial
98,Muscle,0.045082420110702515,0.20136165618896484,0.0,0.0,0.0,0.0,1.480513334274292,AGA,0.0,0.0,0.0,all,endothelial
99,Pancreas,0.09095427393913269,0.2810044288635254,0.0,0.0,0.0,0.0,1.8948944807052612,AGA,0.0,0.0,0.0,all,endothelial
100,Prostate,0.07654667645692825,0.27048835158348083,0.0,0.0,0.0,0.0,1.945481777191162,AGA,0.0,0.0,0.0,all,endothelial
101,Salivary_Gland,0.09966718405485153,0.2848069667816162,0.0,0.0,0.0,0.0,1.7385928630828857,AGA,0.0,0.0,0.0,all,endothelial
102,Skin,0.028134478256106377,0.1358545869588852,0.0,0.0,0.0,0.0,1.1674723625183105,AGA,0.0,0.0,0.0,all,endothelial
103,Small_Intestine,0.04461050033569336,0.20685063302516937,0.0,0.0,0.0,0.0,1.0037918090820312,AGA,0.0,0.0,0.0,all,endothelial
104,Spleen,0.05976325273513794,0.2105342298746109,0.0,0.0,0.0,0.0,1.6269452571868896,AGA,0.0,0.0,0.0,all,endothelial
105,Thymus,0.09319925308227539,0.28585565090179443,0.0,0.0,0.0,0.0,1.8732844591140747,AGA,0.0,0.0,0.0,all,endothelial
106,Tongue,0.08633940666913986,0.2780124247074127,0.0,0.0,0.0,0.0,1.992401361465454,AGA,0.0,0.0,0.0,all,endothelial
107,Trachea,0.08169914782047272,0.24164801836013794,0.0,0.0,0.0,0.0,1.3377782106399536,AGA,0.0,0.0,0.0,all,endothelial
108,Uterus,0.04570464417338371,0.17024677991867065,0.0,0.0,0.0,0.0,1.5003163814544678,AGA,0.0,0.0,0.0,all,endothelial
109,Vasculature,0.103522390127182,0.27467700839042664,0.0,0.0,0.0,0.0,1.9621121883392334,AGA,0.0,0.0,0.0,all,endothelial
110,Bladder,0.07425744831562042,0.21120315790176392,0.0,0.0,0.0,0.0,1.7383995056152344,ALG1,0.0,0.0,0.0,all,endothelial
111,Eye,0.048683006316423416,0.18008680641651154,0.0,0.0,0.0,0.0,1.3166087865829468,ALG1,0.0,0.0,0.0,all,endothelial
112,Fat,0.04902687668800354,0.18688976764678955,0.0,0.0,0.0,0.0,1.825019121170044,ALG1,0.0,0.0,0.0,all,endothelial
113,Heart,0.052275028079748154,0.23690028488636017,0.0,0.0,0.0,0.0,1.598331093788147,ALG1,0.0,0.0,0.0,all,endothelial
114,Kidney,0.06567363440990448,0.1717095822095871,0.0,0.0,0.0,0.0,0.6711469888687134,ALG1,0.0,0.0,0.0,all,endothelial
115,Large_Intestine,0.06379517912864685,0.26893964409828186,0.0,0.0,0.0,0.0,1.4231330156326294,ALG1,0.0,0.0,0.0,all,endothelial
116,Liver,0.05892235040664673,0.23360401391983032,0.0,0.0,0.0,0.0,1.6327184438705444,ALG1,0.0,0.0,0.0,all,endothelial
117,Lung,0.07085558772087097,0.2826049029827118,0.0,0.0,0.0,0.0,1.9207106828689575,ALG1,0.0,0.0,0.0,all,endothelial
118,Lymph_Node,0.11129546165466309,0.3067471385002136,0.0,0.0,0.0,0.0,1.4738174676895142,ALG1,0.0,0.0,0.0,all,endothelial
119,Mammary,0.029160045087337494,0.12092462927103043,0.0,0.0,0.0,0.0,0.8492454886436462,ALG1,0.0,0.0,0.0,all,endothelial
120,Muscle,0.025081366300582886,0.14786209166049957,0.0,0.0,0.0,0.0,1.3997948169708252,ALG1,0.0,0.0,0.0,all,endothelial
121,Pancreas,0.07854073494672775,0.2587234377861023,0.0,0.0,0.0,0.0,2.0354340076446533,ALG1,0.0,0.0,0.0,all,endothelial
122,Prostate,0.04256907105445862,0.20928803086280823,0.0,0.0,0.0,0.0,1.947540521621704,ALG1,0.0,0.0,0.0,all,endothelial
123,Salivary_Gland,0.0525393970310688,0.20664718747138977,0.0,0.0,0.0,0.0,1.63504159450531,ALG1,0.0,0.0,0.0,all,endothelial
124,Skin,0.017265809699892998,0.09749428927898407,0.0,0.0,0.0,0.0,1.051226258277893,ALG1,0.0,0.0,0.0,all,endothelial
125,Small_Intestine,0.03777102008461952,0.17966637015342712,0.0,0.0,0.0,0.0,1.0177985429763794,ALG1,0.0,0.0,0.0,all,endothelial
126,Spleen,0.08244200795888901,0.24418409168720245,0.0,0.0,0.0,0.0,1.3883980512619019,ALG1,0.0,0.0,0.0,all,endothelial
127,Thymus,0.07140535116195679,0.24694103002548218,0.0,0.0,0.0,0.0,1.881726622581482,ALG1,0.0,0.0,0.0,all,endothelial
128,Tongue,0.028161851689219475,0.15296931564807892,0.0,0.0,0.0,0.0,1.4144673347473145,ALG1,0.0,0.0,0.0,all,endothelial
129,Trachea,0.0933491587638855,0.24877822399139404,0.0,0.0,0.0,0.0,1.4278134107589722,ALG1,0.0,0.0,0.0,all,endothelial
